Sample Index,Condition,Question,Similarity
1,holdout_Text_Numeracy.jsonl,Text_Anxiety,0.6984065
1,holdout_Text_Numeracy.jsonl,Text_Numeracy,0.79315215
1,holdout_Text_Numeracy.jsonl,Text_TrustPhys,0.89400434
1,holdout_Text_SubjectiveLit.jsonl,Text_SubjectiveLit,0.8452237
1,holdout_Text_SubjectiveLit.jsonl,Text_Anxiety,0.7480124
1,holdout_Text_SubjectiveLit.jsonl,Text_Numeracy,0.76162374
1,holdout_Text_SubjectiveLit.jsonl,Text_TrustPhys,0.83762276
1,holdout_Text_TrustPhys.jsonl,Text_SubjectiveLit,0.83851933
1,holdout_Text_TrustPhys.jsonl,Text_Anxiety,0.7096968
1,holdout_Text_TrustPhys.jsonl,Text_Numeracy,0.7720438
1,holdout_Text_TrustPhys.jsonl,Text_TrustPhys,0.8290273
1,Baseline No System Prompt,Text_SubjectiveLit,0.7892264
1,Baseline No System Prompt,Text_Anxiety,0.71527725
1,Baseline No System Prompt,Text_Numeracy,0.8167484
1,Baseline No System Prompt,Text_TrustPhys,0.7696538
1,Baseline Zero-Shot,Text_SubjectiveLit,0.8053055
1,Baseline Zero-Shot,Text_Anxiety,0.7031091
1,Baseline Zero-Shot,Text_Numeracy,0.7977644
1,Baseline Zero-Shot,Text_TrustPhys,0.78123486
2,all_4.jsonl,Text_SubjectiveLit,0.79524064
2,all_4.jsonl,Text_Anxiety,0.80270255
2,all_4.jsonl,Text_Numeracy,0.82975084
2,all_4.jsonl,Text_TrustPhys,0.75081325
2,conditioning_on_all.jsonl,Text_SubjectiveLit,0.7905909
2,conditioning_on_all.jsonl,Text_Anxiety,0.8020569
2,conditioning_on_all.jsonl,Text_Numeracy,0.82320714
2,conditioning_on_all.jsonl,Text_TrustPhys,0.7749617
2,holdout_Text_Anxiety.jsonl,Text_SubjectiveLit,0.7905384
2,holdout_Text_Anxiety.jsonl,Text_Anxiety,0.78734183
2,holdout_Text_Anxiety.jsonl,Text_Numeracy,0.82904637
2,holdout_Text_Anxiety.jsonl,Text_TrustPhys,0.7344944
2,holdout_Text_Numeracy.jsonl,Text_SubjectiveLit,0.8124538
2,holdout_Text_Numeracy.jsonl,Text_Anxiety,0.8000806
2,holdout_Text_Numeracy.jsonl,Text_Numeracy,0.83630526
2,holdout_Text_Numeracy.jsonl,Text_TrustPhys,0.76967686
2,holdout_Text_SubjectiveLit.jsonl,Text_SubjectiveLit,0.7941218
2,holdout_Text_SubjectiveLit.jsonl,Text_Anxiety,0.8058714
2,holdout_Text_SubjectiveLit.jsonl,Text_Numeracy,0.82861733
2,holdout_Text_SubjectiveLit.jsonl,Text_TrustPhys,0.720436
2,holdout_Text_TrustPhys.jsonl,Text_SubjectiveLit,0.73608416
2,holdout_Text_TrustPhys.jsonl,Text_Anxiety,0.7891506
2,holdout_Text_TrustPhys.jsonl,Text_Numeracy,0.8076987
2,holdout_Text_TrustPhys.jsonl,Text_TrustPhys,0.7765918
2,Baseline No System Prompt,Text_SubjectiveLit,0.7874281
2,Baseline No System Prompt,Text_Anxiety,0.79040915
2,Baseline No System Prompt,Text_Numeracy,0.7306764
2,Baseline No System Prompt,Text_TrustPhys,0.7018453
2,Baseline Zero-Shot,Text_SubjectiveLit,0.7978289
2,Baseline Zero-Shot,Text_Anxiety,0.7425823
2,Baseline Zero-Shot,Text_Numeracy,0.731212
2,Baseline Zero-Shot,Text_TrustPhys,0.7108658
3,all_4.jsonl,Text_SubjectiveLit,0.74287254
3,all_4.jsonl,Text_Anxiety,0.6997191
3,all_4.jsonl,Text_Numeracy,0.7947848
3,all_4.jsonl,Text_TrustPhys,0.7480141
3,conditioning_on_all.jsonl,Text_SubjectiveLit,0.686422
3,conditioning_on_all.jsonl,Text_Anxiety,0.7284077
3,conditioning_on_all.jsonl,Text_Numeracy,0.7938155
3,conditioning_on_all.jsonl,Text_TrustPhys,0.76096654
3,holdout_Text_Anxiety.jsonl,Text_SubjectiveLit,0.6925464
3,holdout_Text_Anxiety.jsonl,Text_Anxiety,0.72057354
3,holdout_Text_Anxiety.jsonl,Text_Numeracy,0.769923
3,holdout_Text_Anxiety.jsonl,Text_TrustPhys,0.7896168
3,holdout_Text_Numeracy.jsonl,Text_SubjectiveLit,0.70293295
3,holdout_Text_Numeracy.jsonl,Text_Anxiety,0.77445024
3,holdout_Text_Numeracy.jsonl,Text_Numeracy,0.7593541
3,holdout_Text_Numeracy.jsonl,Text_TrustPhys,0.7268113
3,holdout_Text_SubjectiveLit.jsonl,Text_SubjectiveLit,0.68436587
3,holdout_Text_SubjectiveLit.jsonl,Text_Anxiety,0.69090676
3,holdout_Text_SubjectiveLit.jsonl,Text_Numeracy,0.77816916
3,holdout_Text_SubjectiveLit.jsonl,Text_TrustPhys,0.78877854
3,holdout_Text_TrustPhys.jsonl,Text_SubjectiveLit,0.6531937
3,holdout_Text_TrustPhys.jsonl,Text_Anxiety,0.73067236
3,holdout_Text_TrustPhys.jsonl,Text_Numeracy,0.7932104
3,holdout_Text_TrustPhys.jsonl,Text_TrustPhys,0.79291046
3,Baseline No System Prompt,Text_SubjectiveLit,0.58830106
3,Baseline No System Prompt,Text_Anxiety,0.67252314
3,Baseline No System Prompt,Text_Numeracy,0.7453338
3,Baseline No System Prompt,Text_TrustPhys,0.7152378
3,Baseline Zero-Shot,Text_SubjectiveLit,0.6486735
3,Baseline Zero-Shot,Text_Anxiety,0.67169225
3,Baseline Zero-Shot,Text_Numeracy,0.8029796
3,Baseline Zero-Shot,Text_TrustPhys,0.6691047
4,all_4.jsonl,Text_SubjectiveLit,0.8394464
4,all_4.jsonl,Text_Anxiety,0.87879425
4,all_4.jsonl,Text_Numeracy,0.81582206
4,all_4.jsonl,Text_TrustPhys,0.8508417
4,conditioning_on_all.jsonl,Text_SubjectiveLit,0.82978046
4,conditioning_on_all.jsonl,Text_Anxiety,0.8612695
4,conditioning_on_all.jsonl,Text_Numeracy,0.8600261
4,conditioning_on_all.jsonl,Text_TrustPhys,0.88957024
4,holdout_Text_Anxiety.jsonl,Text_SubjectiveLit,0.8240887
4,holdout_Text_Anxiety.jsonl,Text_Anxiety,0.84566635
4,holdout_Text_Anxiety.jsonl,Text_Numeracy,0.84124696
4,holdout_Text_Anxiety.jsonl,Text_TrustPhys,0.8358211
4,holdout_Text_Numeracy.jsonl,Text_SubjectiveLit,0.82103467
4,holdout_Text_Numeracy.jsonl,Text_Anxiety,0.83530444
4,holdout_Text_Numeracy.jsonl,Text_Numeracy,0.79317737
4,holdout_Text_Numeracy.jsonl,Text_TrustPhys,0.849996
4,holdout_Text_SubjectiveLit.jsonl,Text_SubjectiveLit,0.80274117
4,holdout_Text_SubjectiveLit.jsonl,Text_Anxiety,0.8630533
4,holdout_Text_SubjectiveLit.jsonl,Text_Numeracy,0.7967094
4,holdout_Text_SubjectiveLit.jsonl,Text_TrustPhys,0.845555
4,holdout_Text_TrustPhys.jsonl,Text_SubjectiveLit,0.8227333
4,holdout_Text_TrustPhys.jsonl,Text_Anxiety,0.8668874
4,holdout_Text_TrustPhys.jsonl,Text_Numeracy,0.81756055
4,holdout_Text_TrustPhys.jsonl,Text_TrustPhys,0.86081696
4,Baseline No System Prompt,Text_SubjectiveLit,0.7842689
4,Baseline No System Prompt,Text_Anxiety,0.81796
4,Baseline No System Prompt,Text_Numeracy,0.7849649
4,Baseline No System Prompt,Text_TrustPhys,0.80067587
4,Baseline Zero-Shot,Text_SubjectiveLit,0.7964891
4,Baseline Zero-Shot,Text_Anxiety,0.84002507
4,Baseline Zero-Shot,Text_Numeracy,0.8288688
4,Baseline Zero-Shot,Text_TrustPhys,0.80320907
5,all_4.jsonl,Text_SubjectiveLit,0.800869
5,all_4.jsonl,Text_Anxiety,0.8180394
5,all_4.jsonl,Text_Numeracy,0.7982553
5,all_4.jsonl,Text_TrustPhys,0.8416891
5,conditioning_on_all.jsonl,Text_SubjectiveLit,0.81599957
5,conditioning_on_all.jsonl,Text_Anxiety,0.8122641
5,conditioning_on_all.jsonl,Text_Numeracy,0.8046918
5,conditioning_on_all.jsonl,Text_TrustPhys,0.8061453
5,holdout_Text_Anxiety.jsonl,Text_SubjectiveLit,0.80874795
5,holdout_Text_Anxiety.jsonl,Text_Anxiety,0.7914622
5,holdout_Text_Anxiety.jsonl,Text_Numeracy,0.7967973
5,holdout_Text_Anxiety.jsonl,Text_TrustPhys,0.8435452
5,holdout_Text_Numeracy.jsonl,Text_SubjectiveLit,0.7823741
5,holdout_Text_Numeracy.jsonl,Text_Anxiety,0.7866383
5,holdout_Text_Numeracy.jsonl,Text_Numeracy,0.76958835
5,holdout_Text_Numeracy.jsonl,Text_TrustPhys,0.7763696
5,holdout_Text_SubjectiveLit.jsonl,Text_SubjectiveLit,0.76772904
5,holdout_Text_SubjectiveLit.jsonl,Text_Anxiety,0.7239425
5,holdout_Text_SubjectiveLit.jsonl,Text_Numeracy,0.82959956
5,holdout_Text_SubjectiveLit.jsonl,Text_TrustPhys,0.78792006
5,holdout_Text_TrustPhys.jsonl,Text_SubjectiveLit,0.7706622
5,holdout_Text_TrustPhys.jsonl,Text_Anxiety,0.7587147
5,holdout_Text_TrustPhys.jsonl,Text_Numeracy,0.7490771
5,holdout_Text_TrustPhys.jsonl,Text_TrustPhys,0.723118
5,Baseline No System Prompt,Text_SubjectiveLit,0.7943499
5,Baseline No System Prompt,Text_Anxiety,0.61773515
5,Baseline No System Prompt,Text_Numeracy,0.6725873
5,Baseline No System Prompt,Text_TrustPhys,0.7054507
5,Baseline Zero-Shot,Text_SubjectiveLit,0.8063074
5,Baseline Zero-Shot,Text_Anxiety,0.6899147
5,Baseline Zero-Shot,Text_Numeracy,0.72742033
5,Baseline Zero-Shot,Text_TrustPhys,0.76508075
6,all_4.jsonl,Text_SubjectiveLit,0.8531022
6,all_4.jsonl,Text_Anxiety,0.8847668
6,all_4.jsonl,Text_Numeracy,0.8279053
6,all_4.jsonl,Text_TrustPhys,0.83782375
6,conditioning_on_all.jsonl,Text_SubjectiveLit,0.83283603
6,conditioning_on_all.jsonl,Text_Anxiety,0.8878494
6,conditioning_on_all.jsonl,Text_Numeracy,0.79462296
6,conditioning_on_all.jsonl,Text_TrustPhys,0.8967556
6,holdout_Text_Anxiety.jsonl,Text_SubjectiveLit,0.8014113
6,holdout_Text_Anxiety.jsonl,Text_Anxiety,0.8655272
6,holdout_Text_Anxiety.jsonl,Text_Numeracy,0.779149
6,holdout_Text_Anxiety.jsonl,Text_TrustPhys,0.83339214
6,holdout_Text_Numeracy.jsonl,Text_SubjectiveLit,0.8436147
6,holdout_Text_Numeracy.jsonl,Text_Anxiety,0.8637884
6,holdout_Text_Numeracy.jsonl,Text_Numeracy,0.86129314
6,holdout_Text_Numeracy.jsonl,Text_TrustPhys,0.84866524
6,holdout_Text_SubjectiveLit.jsonl,Text_SubjectiveLit,0.8627427
6,holdout_Text_SubjectiveLit.jsonl,Text_Anxiety,0.8542061
6,holdout_Text_SubjectiveLit.jsonl,Text_Numeracy,0.82984763
6,holdout_Text_SubjectiveLit.jsonl,Text_TrustPhys,0.8710715
6,holdout_Text_TrustPhys.jsonl,Text_SubjectiveLit,0.85343564
6,holdout_Text_TrustPhys.jsonl,Text_Anxiety,0.87398624
6,holdout_Text_TrustPhys.jsonl,Text_Numeracy,0.8412964
6,holdout_Text_TrustPhys.jsonl,Text_TrustPhys,0.8571416
6,Baseline No System Prompt,Text_SubjectiveLit,0.8033788
6,Baseline No System Prompt,Text_Anxiety,0.8169124
6,Baseline No System Prompt,Text_Numeracy,0.6639212
6,Baseline No System Prompt,Text_TrustPhys,0.7923424
6,Baseline Zero-Shot,Text_SubjectiveLit,0.7735323
6,Baseline Zero-Shot,Text_Anxiety,0.7663832
6,Baseline Zero-Shot,Text_Numeracy,0.73663217
6,Baseline Zero-Shot,Text_TrustPhys,0.77206767
7,all_4.jsonl,Text_SubjectiveLit,0.78720534
7,all_4.jsonl,Text_Anxiety,0.77127934
7,all_4.jsonl,Text_Numeracy,0.7660258
7,all_4.jsonl,Text_TrustPhys,0.8720249
7,conditioning_on_all.jsonl,Text_SubjectiveLit,0.8648745
7,conditioning_on_all.jsonl,Text_Anxiety,0.66589415
7,conditioning_on_all.jsonl,Text_Numeracy,0.7990073
7,conditioning_on_all.jsonl,Text_TrustPhys,0.8392568
7,holdout_Text_Anxiety.jsonl,Text_SubjectiveLit,0.8225409
7,holdout_Text_Anxiety.jsonl,Text_Anxiety,0.7522574
7,holdout_Text_Anxiety.jsonl,Text_Numeracy,0.78721666
7,holdout_Text_Anxiety.jsonl,Text_TrustPhys,0.79263306
7,holdout_Text_Numeracy.jsonl,Text_SubjectiveLit,0.8119844
7,holdout_Text_Numeracy.jsonl,Text_Anxiety,0.7831555
7,holdout_Text_Numeracy.jsonl,Text_Numeracy,0.8270731
7,holdout_Text_Numeracy.jsonl,Text_TrustPhys,0.8241314
7,holdout_Text_SubjectiveLit.jsonl,Text_SubjectiveLit,0.8352297
7,holdout_Text_SubjectiveLit.jsonl,Text_Anxiety,0.8070166
7,holdout_Text_SubjectiveLit.jsonl,Text_Numeracy,0.85407746
7,holdout_Text_SubjectiveLit.jsonl,Text_TrustPhys,0.8056597
7,holdout_Text_TrustPhys.jsonl,Text_SubjectiveLit,0.760251
7,holdout_Text_TrustPhys.jsonl,Text_Anxiety,0.7382661
7,holdout_Text_TrustPhys.jsonl,Text_Numeracy,0.7886526
7,holdout_Text_TrustPhys.jsonl,Text_TrustPhys,0.8708316
7,Baseline No System Prompt,Text_SubjectiveLit,0.7614833
7,Baseline No System Prompt,Text_Anxiety,0.7601868
7,Baseline No System Prompt,Text_Numeracy,0.69587094
7,Baseline No System Prompt,Text_TrustPhys,0.7822872
7,Baseline Zero-Shot,Text_SubjectiveLit,0.78257275
7,Baseline Zero-Shot,Text_Anxiety,0.65154654
7,Baseline Zero-Shot,Text_Numeracy,0.7387159
7,Baseline Zero-Shot,Text_TrustPhys,0.7441111
8,all_4.jsonl,Text_SubjectiveLit,0.8494147
8,all_4.jsonl,Text_Anxiety,0.7779583
8,all_4.jsonl,Text_Numeracy,0.7340233
8,all_4.jsonl,Text_TrustPhys,0.87488306
8,conditioning_on_all.jsonl,Text_SubjectiveLit,0.834832
8,conditioning_on_all.jsonl,Text_Anxiety,0.8160099
8,conditioning_on_all.jsonl,Text_Numeracy,0.73178554
8,conditioning_on_all.jsonl,Text_TrustPhys,0.8766806
8,holdout_Text_Anxiety.jsonl,Text_SubjectiveLit,0.8505202
8,holdout_Text_Anxiety.jsonl,Text_Anxiety,0.8226532
8,holdout_Text_Anxiety.jsonl,Text_Numeracy,0.69737893
8,holdout_Text_Anxiety.jsonl,Text_TrustPhys,0.84743404
8,holdout_Text_Numeracy.jsonl,Text_SubjectiveLit,0.83810276
8,holdout_Text_Numeracy.jsonl,Text_Anxiety,0.80531347
8,holdout_Text_Numeracy.jsonl,Text_Numeracy,0.75927055
8,holdout_Text_Numeracy.jsonl,Text_TrustPhys,0.8522172
8,holdout_Text_SubjectiveLit.jsonl,Text_SubjectiveLit,0.8243352
8,holdout_Text_SubjectiveLit.jsonl,Text_Anxiety,0.76838416
8,holdout_Text_SubjectiveLit.jsonl,Text_Numeracy,0.84260523
8,holdout_Text_SubjectiveLit.jsonl,Text_TrustPhys,0.8523018
8,holdout_Text_TrustPhys.jsonl,Text_SubjectiveLit,0.8493042
8,holdout_Text_TrustPhys.jsonl,Text_Anxiety,0.81141174
8,holdout_Text_TrustPhys.jsonl,Text_Numeracy,0.7190195
8,holdout_Text_TrustPhys.jsonl,Text_TrustPhys,0.87270415
8,Baseline No System Prompt,Text_SubjectiveLit,0.801407
8,Baseline No System Prompt,Text_Anxiety,0.77709687
8,Baseline No System Prompt,Text_Numeracy,0.6771449
8,Baseline No System Prompt,Text_TrustPhys,0.8001297
8,Baseline Zero-Shot,Text_SubjectiveLit,0.78555804
8,Baseline Zero-Shot,Text_Anxiety,0.7502749
8,Baseline Zero-Shot,Text_Numeracy,0.66274196
8,Baseline Zero-Shot,Text_TrustPhys,0.78327644
9,all_4.jsonl,Text_SubjectiveLit,0.8791386
9,all_4.jsonl,Text_Anxiety,0.8626734
9,all_4.jsonl,Text_Numeracy,0.7575629
9,all_4.jsonl,Text_TrustPhys,0.8615305
9,conditioning_on_all.jsonl,Text_SubjectiveLit,0.8924818
9,conditioning_on_all.jsonl,Text_Anxiety,0.88426536
9,conditioning_on_all.jsonl,Text_Numeracy,0.7540878
9,conditioning_on_all.jsonl,Text_TrustPhys,0.8175465
9,holdout_Text_Anxiety.jsonl,Text_SubjectiveLit,0.9035331
9,holdout_Text_Anxiety.jsonl,Text_Anxiety,0.88622695
9,holdout_Text_Anxiety.jsonl,Text_Numeracy,0.7305136
9,holdout_Text_Anxiety.jsonl,Text_TrustPhys,0.8389857
9,holdout_Text_Numeracy.jsonl,Text_SubjectiveLit,0.8996186
9,holdout_Text_Numeracy.jsonl,Text_Anxiety,0.8615487
9,holdout_Text_Numeracy.jsonl,Text_Numeracy,0.8020804
9,holdout_Text_Numeracy.jsonl,Text_TrustPhys,0.82295585
9,holdout_Text_SubjectiveLit.jsonl,Text_SubjectiveLit,0.89402324
9,holdout_Text_SubjectiveLit.jsonl,Text_Anxiety,0.8904213
9,holdout_Text_SubjectiveLit.jsonl,Text_Numeracy,0.781229
9,holdout_Text_SubjectiveLit.jsonl,Text_TrustPhys,0.84268117
9,holdout_Text_TrustPhys.jsonl,Text_SubjectiveLit,0.9028097
9,holdout_Text_TrustPhys.jsonl,Text_Anxiety,0.8472877
9,holdout_Text_TrustPhys.jsonl,Text_Numeracy,0.7860208
9,holdout_Text_TrustPhys.jsonl,Text_TrustPhys,0.7753016
9,Baseline No System Prompt,Text_SubjectiveLit,0.8462533
9,Baseline No System Prompt,Text_Anxiety,0.8083376
9,Baseline No System Prompt,Text_Numeracy,0.79550505
9,Baseline No System Prompt,Text_TrustPhys,0.6742241
9,Baseline Zero-Shot,Text_SubjectiveLit,0.8354589
9,Baseline Zero-Shot,Text_Anxiety,0.79698503
9,Baseline Zero-Shot,Text_Numeracy,0.7747492
9,Baseline Zero-Shot,Text_TrustPhys,0.7205339
